slot,front_sig,back_sig,front_signer,back_signer,front_program,back_program,front_sell_amount,front_buy_amount,back_sell_amount,back_buy_amount,victim_count
408904659,gSy7u9NH2ycph2wnPtmvhpdCQaCD3Px1NwLUGmKhB8zmuXk9bd35rGpfXMtWhcAx5mJTWz58g67YSaEq5BhHTvc,4tyuN6XeZDavtsK85hrSXiHu9kMG9N4D2EfGL2oxEVAZkv5bbX391QVX5xQs4p6EAp4MwP5pnk5tzE4aPoRusoqW,DDm1Bc9KuXB7Q2UbxyMRLGmbcV2J93xmiWDPt7Edhqbs,DDm1Bc9KuXB7Q2UbxyMRLGmbcV2J93xmiWDPt7Edhqbs,EumFF6mx6mTPW9VSJsPmrmqgLF9amvzKwXfQfyrkwMTH,EumFF6mx6mTPW9VSJsPmrmqgLF9amvzKwXfQfyrkwMTH,5.044,"2,245,086.0","2,245,086.0",5.131,1
408904961,2Hbduxnwd5RnN3kqpufunZnkBQjWKw8BW24uQetdjvipDW1CkPrhoSVJpWZzY1MdzfNzw9JtYDFGJKnGQGU8jz9M,WwTrTuUUypUSCQqHwo2K9HE6wdeLCBsfacqZ595zm9hFhGo45JeLgUf5BmbMKahNsRgxzcybBEQuuHmaNMLCsXA,55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,55PB376nxsrBLTZr1UdQSk6M89AxPif6oKmbmZmWq5dr,EjJmdPATAPvkeF5H4MqWpeE6oRC3ZXJS54b33wE2XrH2,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,0.0981,"2,375,600.2","2,375,600.2",0.0993,2
408905355,2KxALXD6yzpfvj1pu6GMLJp9RCEtFRnncu9ZLwNrdBt8eyRDUwEzhAJc2oymf9249voKyvyHW6JyW41MXzm9Qtgo,7jw52K1eeeH1xaeEMteESyWtMDaowa8k9ToTtsBB5NYPPxfRXbZihYqLudpDag3H8HqtLuN6s8LLgucyENk5yin,A2NARgnSPpu8qoFpt1VpcsdwNUzBYqRfJo4jVNTn3n7k,A2NARgnSPpu8qoFpt1VpcsdwNUzBYqRfJo4jVNTn3n7k,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,1.030,"1,380,448.9","1,356,899.2",1.032,8
408905356,4XSdMBdsb9eYyLsqeaszv2T3YuFMhnX4Paw5YhHoC3F2pXBwcRKAfzTWuV9evb23b5EcT4uudmr2Xgp5e8F3d91j,5sCmK39iwxcH31yykppaTRzkiGcsgGFu84o5WDe8ZDwsmrJM5LSJBp8rvuo5a8iyv1tSXKVuCXvAeJzcMgkUyWXX,6ApZRMWhvLVp6DhkQcGxNk34h5G13HnmsnJRguj6P7K1,6ApZRMWhvLVp6DhkQcGxNk34h5G13HnmsnJRguj6P7K1,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,0.001,"187,399,317.","187,399,317.",0.0014,1
408907002,ez8Uywai78GCmGfjZcHu8irn93VuoJXRaYifux3HiVsFdcauK3LaWMkMyDjoMcn7sYeFsmnFgUEWfty8xbfAdCt,2oXpTwhCNH7VZP52jmaQCXM6eswTTmNfqRv45RPmraMSWrZh9usTJKcBJ7LeE3RA6Sr5KCoDJwoEAg7BHpSRy5yi,HPGQG8YkTrbbaqTYWWwXu2zYdpFjd8UD7qTwDphcD7Rx,HPGQG8YkTrbbaqTYWWwXu2zYdpFjd8UD7qTwDphcD7Rx,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,0.0002,"54,428.187","54,428.187",0.000256,1
408907009,2VkQRALAcFsuBoTmvSYmH5CCsrFbh3dgxnCqV4tWB5wWnHJd7grrSV58QcLAxcaKoz3CbFw78XY7BJBrb9VmxyZM,2nzr9xMdnsaNGvBhAVEjnVtbL8K4eBJ9tehd2ipXub8Wf75Kjumca4bnJn676xLg8sd2eaUywzRBiPDnu5S6dzic,DDm1Bc9KuXB7Q2UbxyMRLGmbcV2J93xmiWDPt7Edhqbs,DDm1Bc9KuXB7Q2UbxyMRLGmbcV2J93xmiWDPt7Edhqbs,EumFF6mx6mTPW9VSJsPmrmqgLF9amvzKwXfQfyrkwMTH,EumFF6mx6mTPW9VSJsPmrmqgLF9amvzKwXfQfyrkwMTH,4.729,"57,257,863.","57,257,863.",4.894,1
408907101,aJUh3FHvPvMxnZtkHsAdoVn3pBCzjZzQyegWUh8mvjrGNLPGyFCwJfaiZUizqu8NjGhvBJTJnSPPTV85GJT3M9U,36mLVkFefUsa4meYSefsRDHyDi3kkZWcy3JLv2SLhWZ4BaYvfLLrfDsD2GdRqUjPzLD5hELLKgaZnzwC7iiTpGvN,DDm1Bc9KuXB7Q2UbxyMRLGmbcV2J93xmiWDPt7Edhqbs,DDm1Bc9KuXB7Q2UbxyMRLGmbcV2J93xmiWDPt7Edhqbs,EumFF6mx6mTPW9VSJsPmrmqgLF9amvzKwXfQfyrkwMTH,EumFF6mx6mTPW9VSJsPmrmqgLF9amvzKwXfQfyrkwMTH,4.198,"28,725,484.","28,725,484.",4.568,2
408907261,3EeqgmKSr1kJCxp4QpLQZaA3NL7wwZkRe9A5qUAmmhdHxeoL8AiMzMBzdEGCY5PLZ8SitG6SH7WaUWwpBtsr9rX8,3WSpmWfBYaFpFao4BJvsuGusABrUuRTURTzZFWoFY9nfXQVkSbpNDtYysjZPhbeAuVFbSmdqnzmbEb6FG8L7Sa12,EsmK1LDuLaNVksB1Q885FucyArTqRmUk1JJjYSjcXyvG,EsmK1LDuLaNVksB1Q885FucyArTqRmUk1JJjYSjcXyvG,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,0.0691,"1,253,174.4","1,253,174.4",0.0699,4
408907468,5e2k9fCAVSeLnD7PHLo4CBxm9Xf5UN6rKFdJV2bdVK5v5uiTpULnx9H6qPsw5gEFq6NpsHrVTS7Eq1FxDKjnmtG9,5a9G1mFoeEjrZwDA3G7JCSw4cGUDZWG2xwJAQRM6sgTWrXBt4gABsnHXM7m5Xybvqz4sRJxFecMGy5kZePyM6d53,EsmK1LDuLaNVksB1Q885FucyArTqRmUk1JJjYSjcXyvG,EsmK1LDuLaNVksB1Q885FucyArTqRmUk1JJjYSjcXyvG,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,0.0691,"1,250,403.7","1,250,403.7",0.0693,1
408907971,5v3oWUEVPYFkBUpPXj7D4V7WhzmsfnuY76jZfXbbytxWt1mN6Ji5fh7HsudiSw8Yw3FnnaArZibZEFpxTX9dyFei,246KYBQh3nH4bvjknobxLGgpj27G1DG2WxtdtkPE552fuowsanvaXE5LYyaojtbZXuf2eNTEkSvs4DdWvqQAaysz,DULTRZBKB4nmRbUxKRHuSXxsw4gQFzLGeCoRRCqxcnoL,DULTRZBKB4nmRbUxKRHuSXxsw4gQFzLGeCoRRCqxcnoL,Bgo4vNe3vxRv37j8mmQarJo8vbjHEKgkhJDZzxiizBid,Bgo4vNe3vxRv37j8mmQarJo8vbjHEKgkhJDZzxiizBid,1.980,"2,200,261.5","2,200,261.5",2.035,4
