attacker,bot_type,categories,sandwich_count,usd_profit_net,usd_avg_profit,sol_profit_net,fee_sol_total,win_rate,sol_win_rate,mean_slippage_consumption,slippage_coverage,front_gap_median,front_gap_eq1_ratio,in_block_count,cross_block_count,cross_leader_count,multi_split_count,jito_bundle_count,first_slot,last_slot,expert_verdict,n_signing_keys
DULTPxixRvN8SmXGkZoEXMzRm6FMgDYA1SNmjNYbHaJ8,Signal Bot,standard,841,3923.061875719983,4.664758472913179,48.01513909699977,0.407134043,0.9111922141119222,0.9097651421508035,0.9571713663721488,0.9167657550535078,59.0,0.04399524375743163,129,712,428,0,0,408675871,427423732,yes,1
92MZw35nSRYbyVFZEu8XwB7U2Ta2mUxzN1FvDLYHEVmc,Signal Bot,standard,472,3902.401363956416,8.26779949990766,48.7800170494552,3.473489897,0.935,0.935,0.9446670076136872,0.7838983050847458,74.0,0.048728813559322036,32,440,312,0,0,410667255,422477223,yes,1
Bm3k3LRDAYSH9PdjsMHoP58VPZJ7NzTTi6wBGfXBxya2,Signal Bot,diff-signer-owner,417,3888.881816170033,9.325855674268665,48.61102270212541,0.004518174,0.9706601466992665,0.9706601466992665,0.9691782428856592,0.9184652278177458,66.0,0.03357314148681055,91,326,179,0,0,408921130,427200617,yes,408
93QkPPc1o1U8qAtsuX6WPGBHNpcz8RUopjZhERaKoktA,Signal Bot,standard,1301,3792.505344080056,2.9150694420292513,47.17727513000067,1.772710819,0.9491255961844197,0.9493975903614458,0.9618936566619506,0.9192928516525749,31.0,0.053036126056879324,311,990,565,0,0,408749499,418397726,yes,1
GAAcxw3qcRmQTzm34UGQLz6q5V33Wk7vyugMPWXZKAbn,Signal Bot,standard,336,3415.6616189662286,10.165659580256634,42.69577023707786,0.541393496,0.9573170731707317,0.9573170731707317,0.9628295598337321,0.9672619047619048,9.0,0.15773809523809523,0,336,211,0,0,426068107,428089108,yes,1
FiAPe3q5TFYfYu4fP2ySMLRE9qfkAEYLsk2JaPaavvuW,Signal Bot,standard,1055,3408.6754736011435,3.2309720128920794,42.56280864301417,0.87659873,0.975,0.9758149316508938,0.9582228921683781,0.8976303317535546,70.0,0.04170616113744076,132,923,548,0,0,408674133,424273505,yes,1
2YMM3oZ9g6Dw4MBbj7yHQ9EaKRAKstDTMdPBk3LmH7hD,Jito Bot,standard,64,3367.85282216,52.62270034625,42.098160277,0.01344,1.0,1.0,0.9641672988493925,1.0,1.0,0.984375,64,0,0,0,34,410828632,419719644,not_audited,1
FhwFSBV6UZP55DWjVGAsqaatXajhMZS9ZV84p7Yzq6wj,Signal Bot,standard,3590,3283.7913555200103,0.9147051129582201,41.047391944000125,0.07755835999999999,0.947075208913649,0.947075208913649,0.9527592787082279,0.9398328690807799,67.5,0.08467966573816156,188,3402,2364,0,0,408672902,428107413,yes,1
2n78p72RVYbyAiPtzZCNBYjMsEXKRiqfd5zArK8r2tgG,Signal Bot,standard,104,3271.250306560005,31.45432987076928,40.89062883200006,4.372824053,0.9326923076923077,0.9326923076923077,0.9352873209497484,0.9326923076923077,30.0,0.0673076923076923,0,104,43,0,0,408814703,425313119,yes,1
5wutoUsK5P1qnL33Dc1jpBKgpAy8TTtUV1m77xkEmnDE,Signal Bot,standard,143,3163.868220599994,22.12495259160835,36.90672031999998,1.005962599,0.9389312977099237,0.9354838709677419,0.9632071723046636,0.951048951048951,12.0,0.18181818181818182,0,143,94,0,0,421268538,427811942,yes,1
hope6BQrM48TGTHtom4Gd5uJZqoj68s2AAq4syi1EPb,Signal Bot,standard,521,3153.370211560156,6.052533995316998,37.04782020700179,0.85921,0.9385245901639344,0.9358974358974359,0.9549192820134512,0.8579654510556622,29.0,0.05758157389635317,63,458,279,0,0,409074756,426930823,yes,1
