front_signer,epoch,n,victims,usd,fee_sol,usd_net
H8qC96h6BHxcLtCPDbnGqiwRjgKG8pnFhfh6G41HFu47,985,1,1,13.92554887999971,0.000157,13.912988879999709
HM7KvRTa4objzPHdV6jcwrJrWCjQ86wbkEsfVmE3T1Vv,961,1,1,1457.272656280095,1e-05,1457.2718562800949
HXLaNyB6vfmL2VDNa1rrHNEpfgM3QKXMh6d3m99puxDh,975,1,1,12.066861200000005,0.000157,12.054301200000005
HYcDsoyCBAabp23sVVg3xmB72sppEdBoggo8dKTknCiJ,950,1,1,10.676206079999666,0.000157,10.663646079999666
HesEP7zTCrMBezVyzZEDtUGzXM3VR8oncd1Yag5XMgsx,974,1,1,0.9948774214667693,1e-05,0.9940774214667693
HmFUHh1ik1TGxsMJxEHqtsZDcYB8tzsV6k25KzGhBf4Y,978,1,1,12.453491679999686,0.000157,12.440931679999686
J5fk6fT7dVXyMqxdgquuo2U35TwVXQqMpxmAvD6WMdgN,973,1,1,0.5605187150026181,1e-05,0.559718715002618
JA7s8sMSpZ2ui4QHG5YdJ5WEMbZLrqHCe2sKhSuE1GEf,970,1,1,12.40382168,0.000157,12.39126168
JAPAVgpfEEAm6Nir7JJyCdPLLM4chYgqzi2NBsYtbtb3,955,1,1,10.13110312000002,0.000157,10.11854312000002
6S4XBzhobNUjeVi7sbM6HjUh8t3nfSctiZaCQiZJZsru,953,1,1,13.290889200000002,0.000157,13.278329200000002
6b4s5qos28GDhi6et39ZTNY61jM9v6XYxZzHMEp5AsVw,981,1,1,9.598924800000006,0.000157,9.586364800000005
6cr6DNyih2cpg9T1b1JZSBMgXtdcwy3TdXyeGWQ8Ufu7,976,1,1,14.622048079999992,0.000157,14.609488079999991
6f4Jr7R3Zc9GX9gxAJbSe2uLdXoPb5NRaZ5CN952ZHMA,973,1,2,0.0,1e-05,0.0
6hPnZamKjKD2boYK7NZKJv62ZDmqRm2RsJY9ECYaZptf,973,1,1,0.0,1e-05,0.0
6vVGQwxPSfduc4ZdAEFxcW3eATuTt9XeUK23SMnxFi9R,968,1,1,13.738132880000009,0.000157,13.725572880000009
6wz2iVyxxxznQkgfQXgeyNSUm1xAurLZFyMU4twPShmN,976,1,1,0.0,1e-05,0.0
