front_signer,epoch,n,victims,usd
Es9k6N9BDEnxBKKzMmEnRqhFM7acoFAGnFDPXiyoceq7,957,1,2,-0.055145368535363115
EtDa4cmUgBanat2gpDscpExu21YfWaPcywfQproNf24A,959,1,1,-0.2594579483114323
EugtaNASh8w39V7PYr1wPAczHm9Mor4ckbfKiQpyRmcp,960,1,2,-0.2747483583324861
EuqKgfbE6JxtQRaoMjRH2p9wKHTT8Ur5sQxRXLLyi737,956,1,2,-0.4092461336449915
Ev7uNyjnmru6Z4tCw4c3VXPfgF1f1u4DpnDgTmaV8Vxt,959,1,1,-0.025847271756888057
EvC5QdxDAWXPZ7wjhux1QUDrGHS21263cChBuLkXe59n,958,1,2,-0.014212235428274211
EwHJ6wepg126pd7ed1bTzabvoZmtfHfSq7LrYy7krzXY,953,1,2,-0.0025058915364717382
EwVmUcaKWGoFSYKdZ4UiAybJ1qQ356GhR9n796pYS3u4,957,1,1,-0.21691721236739347
Ex84DbDKaiUv9ByjdSKhhnsYCdfionR8TtWvdiyki4mS,957,1,2,-0.007111016145839033
Eykw5F1SpQPyKyMeVVCiur5AkL9vJXPmJJQCJ1D1R9Hr,958,1,1,-0.011293215915837429
ErKGRaXN6PuZ1uAJevfmLWEH3PkxDBpvS4NJJ9WLA39Q,955,1,1,-0.12045280995983454
DtT85e8mmp21xJ817qRLU8KBTrzP2oU5ifpTu61ynyNb,959,1,1,-0.0325781625283339
Dudrz5gJ3fdTfz634uE2bBt51fzNz6JWZu4CmWBmtLe9,950,1,2,-0.011673263818068325
Dv18WzDA4UywtjMHZa2KN7agJNEJSbtjpVBzc5SpuD6J,958,1,1,-0.018566646876059245
Dv8qXnEUax3LYe4cGJ5XJGQ4U3YQdonhCfnzKhSXvf9Z,948,1,2,-0.007189787915140855
DxiDuQp4uQT93ipFikBeAGCohK4vc7Q9pffHrXVWv5jo,956,1,1,-0.27361766519316433
D2MJAMKWKbH7G8okegu66XoyfZzCpkXKektneoi8CgV3,958,1,1,-0.024533308144902843
E3Nbqr8n71cve6oCxj5JQix1X5zrLHDupZwNxSNLUrUZ,959,1,2,-0.001521920450702277
E3TutK9H998HC3gbERmTmadHHg5GUVPJB3zoUYAkrNmQ,960,1,2,-0.05367046556749688
E3i7SXqUmPfxS8AKYscHANyJWrPuRH9RpVeqRRu3bqmC,958,1,1,-0.09546985468044555
E8H5fDNyXo65HC5XTe6wsVPjpegFjrn9ZXrU6mXqaWCs,960,1,2,-0.0026636799458901184
E9EHvnKMwLuf1RhQpahcPNQtwfBMdyVD5rhpgFdnZMFc,957,1,2,-0.15518407834032022
EXFh51cK9DUUkYKqTH2sTiLZ7vyvN9mts8qk2Rd3RNnb,950,1,2,-0.009472653166984757
E9kCGRBMDhG3AfzzvXJeX9dBpdJv4W8BcUFz9BMcmsnF,947,1,1,-0.4534106359196777
EDmMeMJhbyEW5k1GwRZn9h7YKQdvTAxeASqbhJXA1rK7,953,1,2,-0.01116097817300099
EJNmcoXeJt5nQATbHgX1A2c2KHRYBpreQzmddps1nmGp,958,1,1,-0.000672515252492234
ELkRasLbFZCgfmrXNDCg95Ax855jaFjBtTDUnMDV6Tvg,947,1,1,0.00037061537737088923
EMM6KYA9fUo4FWU4n6sZo6EUcgAbTuMfemYALejbTN9H,955,1,2,-0.0787373175832573
EMTN8etur3NV1qy7rkMGDn4ujXyA1hFkLpMuqe5crXLA,951,1,1,-0.1076879857907409
ENH1kovS5pogU256Bzj9ysG4As7DxVh6yMZQRKiRMPon,957,1,1,-0.014816519588176646
EPCmtzE5UBnotB8ytg5q2oNZzzPQLjDQ5dTKpckvrFCV,958,1,2,-0.015230056792935875
ESm28asFgSQavVPbLBbFGmiKtBvpJe6Bwj11shTCERxU,958,1,1,-0.1231489979766387
